date,sales,day_of_year,day_of_week,month,year
2020-06-03,39.36450332276142,155,2,6,2020
2020-06-04,31.404988608761357,156,3,6,2020
2020-06-05,39.746989577988536,157,4,6,2020
2020-06-06,29.859744281534667,158,5,6,2020
2020-06-07,22.27479511117914,159,6,6,2020
2020-06-08,35.19614924198436,160,0,6,2020
2020-06-09,30.719795725276082,161,1,6,2020
2020-06-10,40.262623507811426,162,2,6,2020
2020-06-11,39.18141574125314,163,3,6,2020
2020-06-12,24.710686811917377,164,4,6,2020
2020-06-13,30.68839220736167,165,5,6,2020
2020-06-14,28.66176534084559,166,6,6,2020
2020-06-15,34.37651631100853,167,0,6,2020
2020-06-16,43.41696354173026,168,1,6,2020
2020-06-17,33.42769259621131,169,2,6,2020
2020-06-18,27.935509399960168,170,3,6,2020
2020-06-19,22.671283329203334,171,4,6,2020
2020-06-20,20.086910171496598,172,5,6,2020
2020-06-21,24.497186469228783,173,6,6,2020
2020-06-22,30.24788812907941,174,0,6,2020
2020-06-23,33.58414060180111,175,1,6,2020
2020-06-24,37.050711863573994,176,2,6,2020
2020-06-25,30.022538048457246,177,3,6,2020
2020-06-26,32.63374363461716,178,4,6,2020
2020-06-27,21.084479896023637,179,5,6,2020
2020-06-28,36.720634902213504,180,6,6,2020
2020-06-29,29.90355891984545,181,0,6,2020
2020-06-30,26.14470209183548,182,1,6,2020
2020-07-01,25.787556183037847,183,2,7,2020
2020-07-02,30.595244713385572,184,3,7,2020
2020-07-03,22.472956123493606,185,4,7,2020
2020-07-04,24.2015181896424,186,5,7,2020
2020-07-05,23.70999593898916,187,6,7,2020
2020-07-06,24.636075609654657,188,0,7,2020
2020-07-07,24.42321038595675,189,1,7,2020
2020-07-08,21.796874127733155,190,2,7,2020
2020-07-09,24.182512584133573,191,3,7,2020
2020-07-10,26.1082915913369,192,4,7,2020
2020-07-11,19.9425434732985,193,5,7,2020
2020-07-12,13.36091168053406,194,6,7,2020
2020-07-13,24.117866995089805,195,0,7,2020
2020-07-14,28.842156454121508,196,1,7,2020
2020-07-15,23.21756401961592,197,2,7,2020
2020-07-16,25.457504002840054,198,3,7,2020
2020-07-17,20.39987994650445,199,4,7,2020
2020-07-18,11.449204442129673,200,5,7,2020
2020-07-19,19.680658042549215,201,6,7,2020
2020-07-20,24.36882419750738,202,0,7,2020
2020-07-21,30.65527434648697,203,1,7,2020
2020-07-22,31.24250184760346,204,2,7,2020
2020-07-23,16.15004266042831,205,3,7,2020
2020-07-24,13.782767842084546,206,4,7,2020
2020-07-25,18.11650562660771,207,5,7,2020
2020-07-26,18.852807831215998,208,6,7,2020
2020-07-27,22.547842710018593,209,0,7,2020
2020-07-28,42.9275819738157,210,1,7,2020
2020-07-29,27.268707213141234,211,2,7,2020
2020-07-30,27.174485472720274,212,3,7,2020
2020-07-31,21.718317167206685,213,4,7,2020
2020-08-01,17.293485858622855,214,5,8,2020
2020-08-02,13.222149076618816,215,6,8,2020
2020-08-03,22.30211067816707,216,0,8,2020
2020-08-04,18.355122050455968,217,1,8,2020
2020-08-05,21.80676265070452,218,2,8,2020
2020-08-06,17.668325799934898,219,3,8,2020
2020-08-07,15.978651900680573,220,4,8,2020
2020-08-08,24.25387656628324,221,5,8,2020
2020-08-09,4.129892604444416,222,6,8,2020
2020-08-10,20.630538787785564,223,0,8,2020
2020-08-11,12.87246569994338,224,1,8,2020
2020-08-12,19.37338329492259,225,2,8,2020
2020-08-13,24.30803229097018,226,3,8,2020
2020-08-14,14.685317036061742,227,4,8,2020
2020-08-15,6.113538850314547,228,5,8,2020
2020-08-16,8.738957596247264,229,6,8,2020
2020-08-17,19.474589860775538,230,0,8,2020
2020-08-18,16.190199702556704,231,1,8,2020
2020-08-19,21.750458251650823,232,2,8,2020
2020-08-20,18.055897788224787,233,3,8,2020
2020-08-21,10.100804045962061,234,4,8,2020
2020-08-22,21.247485633140187,235,5,8,2020
2020-08-23,14.541662287089093,236,6,8,2020
2020-08-24,5.039033585806322,237,0,8,2020
2020-08-25,19.894460654217056,238,1,8,2020
2020-08-26,16.51184698904139,239,2,8,2020
2020-08-27,21.27571443064137,240,3,8,2020
2020-08-28,8.615034053284903,241,4,8,2020
2020-08-29,9.20665550807891,242,5,8,2020
2020-08-30,13.183724456306892,243,6,8,2020
2020-08-31,18.814789417371152,244,0,8,2020
2020-09-01,12.316907475823248,245,1,9,2020
2020-09-02,17.53978419211659,246,2,9,2020
2020-09-03,14.066009562416177,247,3,9,2020
2020-09-04,8.774213365192226,248,4,9,2020
2020-09-05,18.107209575542853,249,5,9,2020
2020-09-06,12.220010841010147,250,6,9,2020
2020-09-07,7.754945291553218,251,0,9,2020
2020-09-08,22.51840112086125,252,1,9,2020
2020-09-09,29.471425301975103,253,2,9,2020
2020-09-10,21.289359109147085,254,3,9,2020
2020-09-11,4.168528572647334,255,4,9,2020
2020-09-12,6.621777203395569,256,5,9,2020
2020-09-13,16.331414288102685,257,6,9,2020
2020-09-14,10.361766330736279,258,0,9,2020
2020-09-15,20.028163200359913,259,1,9,2020
2020-09-16,22.653237467714128,260,2,9,2020
2020-09-17,11.451461999585122,261,3,9,2020
2020-09-18,11.466690562798087,262,4,9,2020
2020-09-19,0.0,263,5,9,2020
2020-09-20,4.954122988843042,264,6,9,2020
2020-09-21,12.756858126935139,265,0,9,2020
2020-09-22,11.730269173158561,266,1,9,2020
2020-09-23,27.142915773817332,267,2,9,2020
2020-09-24,9.176999747652136,268,3,9,2020
2020-09-25,9.846602538696972,269,4,9,2020
2020-09-26,10.059159705553238,270,5,9,2020
2020-09-27,17.647062875706805,271,6,9,2020
2020-09-28,7.246211316677497,272,0,9,2020
2020-09-29,24.232081510382265,273,1,9,2020
2020-09-30,19.520411020107797,274,2,9,2020
2020-10-01,11.949900729630617,275,3,10,2020
2020-10-02,14.928460433423396,276,4,10,2020
2020-10-03,11.013271740143626,277,5,10,2020
2020-10-04,8.093532201243608,278,6,10,2020
2020-10-05,15.469849475948543,279,0,10,2020
2020-10-06,17.226389423753805,280,1,10,2020
2020-10-07,20.814873393700392,281,2,10,2020
2020-10-08,20.98744098280322,282,3,10,2020
2020-10-09,21.408617597843516,283,4,10,2020
2020-10-10,4.730665004022098,284,5,10,2020
2020-10-11,22.702651242793845,285,6,10,2020
2020-10-12,6.344273986459106,286,0,10,2020
2020-10-13,19.418807486179745,287,1,10,2020
2020-10-14,24.254433239560175,288,2,10,2020
2020-10-15,20.187963772206952,289,3,10,2020
2020-10-16,11.51176829138237,290,4,10,2020
2020-10-17,11.066226446964388,291,5,10,2020
2020-10-18,10.79977305721969,292,6,10,2020
2020-10-19,14.425204158657522,293,0,10,2020
2020-10-20,25.732891598939275,294,1,10,2020
2020-10-21,24.444705790189694,295,2,10,2020
2020-10-22,16.704658690744953,296,3,10,2020
2020-10-23,20.54866499566404,297,4,10,2020
2020-10-24,15.107697340679751,298,5,10,2020
2020-10-25,18.83216595725133,299,6,10,2020
2020-10-26,22.061707209431855,300,0,10,2020
2020-10-27,18.919628988276905,301,1,10,2020
2020-10-28,21.47635310937011,302,2,10,2020
2020-10-29,25.560919594614518,303,3,10,2020
2020-10-30,20.79507359972724,304,4,10,2020
2020-10-31,15.196245931655165,305,5,10,2020
2020-11-01,17.12071876674286,306,6,11,2020
2020-11-02,27.104450246777624,307,0,11,2020
2020-11-03,21.945299354035082,308,1,11,2020
2020-11-04,28.88692951539504,309,2,11,2020
2020-11-05,22.72293666234418,310,3,11,2020
2020-11-06,18.599150245525802,311,4,11,2020
2020-11-07,22.773469038141158,312,5,11,2020
2020-11-08,22.67409240535244,313,6,11,2020
2020-11-09,26.830291647265717,314,0,11,2020
2020-11-10,33.51043790927187,315,1,11,2020
2020-11-11,28.369190410407377,316,2,11,2020
2020-11-12,29.2887958144683,317,3,11,2020
2020-11-13,20.3133077879204,318,4,11,2020
2020-11-14,21.108998504799676,319,5,11,2020
2020-11-15,20.135907066466203,320,6,11,2020
2020-11-16,25.517888560480646,321,0,11,2020
2020-11-17,32.25906269462465,322,1,11,2020
2020-11-18,26.50287584329366,323,2,11,2020
2020-11-19,38.69984694297815,324,3,11,2020
2020-11-20,19.221994402609607,325,4,11,2020
2020-11-21,15.832703682222746,326,5,11,2020
2020-11-22,29.02016880854745,327,6,11,2020
2020-11-23,31.461190100095035,328,0,11,2020
2020-11-24,34.900276049996485,329,1,11,2020
2020-11-25,36.25798559461491,330,2,11,2020
2020-11-26,30.724275111561965,331,3,11,2020
2020-11-27,22.33816022473053,332,4,11,2020
2020-11-28,24.879198083758343,333,5,11,2020
2020-11-29,22.46393046387,334,6,11,2020
2020-11-30,35.02160718824008,335,0,11,2020
2020-12-01,33.709933727082586,336,1,12,2020
2020-12-02,31.676125349668226,337,2,12,2020
2020-12-03,31.887134051025505,338,3,12,2020
2020-12-04,31.61822974414893,339,4,12,2020
2020-12-05,24.430658043698433,340,5,12,2020
2020-12-06,24.507080792043205,341,6,12,2020
2020-12-07,34.151593947276254,342,0,12,2020
2020-12-08,38.47527033043316,343,1,12,2020
2020-12-09,36.09153627365714,344,2,12,2020
2020-12-10,33.978287873586446,345,3,12,2020
2020-12-11,33.56936001228329,346,4,12,2020
2020-12-12,22.87986027745035,347,5,12,2020
2020-12-13,24.46666543801679,348,6,12,2020
2020-12-14,32.240871345029966,349,0,12,2020
2020-12-15,39.096597775714244,350,1,12,2020
2020-12-16,43.10697202877876,351,2,12,2020
2020-12-17,46.64854923699679,352,3,12,2020
2020-12-18,39.6471210192069,353,4,12,2020
2020-12-19,32.28103948629365,354,5,12,2020
2020-12-20,34.379401563952726,355,6,12,2020
2020-12-21,33.80029965957621,356,0,12,2020
2020-12-22,43.05978245069143,357,1,12,2020
2020-12-23,43.105618431674586,358,2,12,2020
2020-12-24,43.88910111640324,359,3,12,2020
2020-12-25,34.232968843586036,360,4,12,2020
2020-12-26,38.69362167850822,361,5,12,2020
2020-12-27,45.1594845370878,362,6,12,2020
2020-12-28,41.29489606679778,363,0,12,2020
2020-12-29,48.190391270721285,364,1,12,2020
2020-12-30,51.03214045819782,365,2,12,2020
2020-12-31,43.30422841802989,366,3,12,2020
2021-01-01,42.268048194802475,1,4,1,2021
2021-01-02,38.939346718335074,2,5,1,2021
2021-01-03,40.764063570945325,3,6,1,2021
2021-01-04,40.7533024935887,4,0,1,2021
2021-01-05,49.083163702194845,5,1,1,2021
2021-01-06,52.84868202142336,6,2,1,2021
2021-01-07,55.34117355172352,7,3,1,2021
2021-01-08,48.97424711957386,8,4,1,2021
2021-01-09,52.66904737159614,9,5,1,2021
2021-01-10,39.46142974920738,10,6,1,2021
2021-01-11,51.997465409713215,11,0,1,2021
2021-01-12,52.88915368438578,12,1,1,2021
2021-01-13,64.31315143218117,13,2,1,2021
2021-01-14,47.04232291683771,14,3,1,2021
2021-01-15,42.96985459021002,15,4,1,2021
2021-01-16,41.88825630561781,16,5,1,2021
2021-01-17,35.65159119471558,17,6,1,2021
2021-01-18,47.97011405828396,18,0,1,2021
2021-01-19,51.129241782871674,19,1,1,2021
2021-01-20,57.05731456069852,20,2,1,2021
2021-01-21,55.721866774730124,21,3,1,2021
2021-01-22,59.46597403430417,22,4,1,2021
2021-01-23,52.540701774062605,23,5,1,2021
2021-01-24,46.27594906334289,24,6,1,2021
2021-01-25,48.981579404967924,25,0,1,2021
2021-01-26,60.243966537777474,26,1,1,2021
2021-01-27,52.54768762927905,27,2,1,2021
2021-01-28,65.9972763816148,28,3,1,2021
2021-01-29,58.79195380860817,29,4,1,2021
2021-01-30,48.23443059769769,30,5,1,2021
2021-01-31,43.36797437663138,31,6,1,2021
2021-02-01,62.99701370357549,32,0,2,2021
2021-02-02,59.9458615767452,33,1,2,2021
2021-02-03,68.05169392164079,34,2,2,2021
2021-02-04,51.560555099281046,35,3,2,2021
2021-02-05,52.56893087195144,36,4,2,2021
2021-02-06,53.255318285597674,37,5,2,2021
2021-02-07,54.7944818606607,38,6,2,2021
2021-02-08,56.57980684433114,39,0,2,2021
2021-02-09,66.211259830299,40,1,2,2021
2021-02-10,59.078350186086965,41,2,2,2021
2021-02-11,61.34945743646077,42,3,2,2021
2021-02-12,58.67020545282079,43,4,2,2021
2021-02-13,58.277921063134585,44,5,2,2021
2021-02-14,60.56743992635236,45,6,2,2021
2021-02-15,55.629331607313986,46,0,2,2021
2021-02-16,57.820938184653926,47,1,2,2021
2021-02-17,73.1709043602677,48,2,2,2021
2021-02-18,66.0600483434313,49,3,2,2021
2021-02-19,56.63396855896377,50,4,2,2021
2021-02-20,65.73921497935935,51,5,2,2021
2021-02-21,59.83503377502606,52,6,2,2021
2021-02-22,69.36541151620776,53,0,2,2021
2021-02-23,68.01410418670426,54,1,2,2021
2021-02-24,79.23942186472814,55,2,2,2021
2021-02-25,75.29605319198953,56,3,2,2021
2021-02-26,61.21971891627736,57,4,2,2021
2021-02-27,64.8962846941277,58,5,2,2021
2021-02-28,64.5049301234134,59,6,2,2021
2021-03-01,72.29947654178785,60,0,3,2021
2021-03-02,64.80488953344216,61,1,3,2021
2021-03-03,74.28414518654237,62,2,3,2021
2021-03-04,73.69450663563426,63,3,3,2021
2021-03-05,55.518336416883024,64,4,3,2021
2021-03-06,55.93373044556126,65,5,3,2021
2021-03-07,52.85723196964413,66,6,3,2021
2021-03-08,65.84803773962936,67,0,3,2021
2021-03-09,74.91905403653382,68,1,3,2021
2021-03-10,80.03027484484743,69,2,3,2021
2021-03-11,70.39991960923427,70,3,3,2021
2021-03-12,74.0443380306092,71,4,3,2021
2021-03-13,56.50062345564843,72,5,3,2021
2021-03-14,56.04919729959519,73,6,3,2021
2021-03-15,68.39139793194799,74,0,3,2021
2021-03-16,74.68683280782628,75,1,3,2021
2021-03-17,73.7510388664551,76,2,3,2021
2021-03-18,61.048891954554115,77,3,3,2021
2021-03-19,66.77273573505802,78,4,3,2021
2021-03-20,58.156074626199896,79,5,3,2021
2021-03-21,69.15178801733437,80,6,3,2021
2021-03-22,71.69928830064508,81,0,3,2021
2021-03-23,69.2239444967938,82,1,3,2021
2021-03-24,72.46153739392744,83,2,3,2021
2021-03-25,67.16577199242886,84,3,3,2021
2021-03-26,67.93992365263172,85,4,3,2021
2021-03-27,70.4482433424289,86,5,3,2021
2021-03-28,61.82792349824976,87,6,3,2021
2021-03-29,73.29858151774287,88,0,3,2021
2021-03-30,72.14294734273835,89,1,3,2021
2021-03-31,71.89616886443986,90,2,3,2021
2021-04-01,72.71505898991046,91,3,4,2021
2021-04-02,63.82414217941062,92,4,4,2021
2021-04-03,63.60994888457415,93,5,4,2021
2021-04-04,61.43143475376411,94,6,4,2021
2021-04-05,81.22484195233537,95,0,4,2021
2021-04-06,75.55201970015818,96,1,4,2021
2021-04-07,72.9019856980424,97,2,4,2021
2021-04-08,74.81883105748848,98,3,4,2021
2021-04-09,68.89611379333437,99,4,4,2021
2021-04-10,65.68947846172843,100,5,4,2021
2021-04-11,70.86658303669086,101,6,4,2021
2021-04-12,75.52255009675159,102,0,4,2021
2021-04-13,73.015949238367,103,1,4,2021
2021-04-14,73.77333283167661,104,2,4,2021
2021-04-15,72.58465367461184,105,3,4,2021
2021-04-16,58.118422915500155,106,4,4,2021
2021-04-17,59.348076113355255,107,5,4,2021
2021-04-18,74.71940433817734,108,6,4,2021
2021-04-19,80.0088722713659,109,0,4,2021
2021-04-20,74.43220773614999,110,1,4,2021
2021-04-21,79.50423657820255,111,2,4,2021
2021-04-22,75.44548121056597,112,3,4,2021
2021-04-23,84.91224913799535,113,4,4,2021
2021-04-24,72.37243963598709,114,5,4,2021
2021-04-25,67.056926839188,115,6,4,2021
2021-04-26,66.77900383698446,116,0,4,2021
2021-04-27,67.37927309292373,117,1,4,2021
2021-04-28,77.33459641956989,118,2,4,2021
2021-04-29,69.76528952935571,119,3,4,2021
2021-04-30,62.02666357872047,120,4,4,2021
2021-05-01,63.12436093776126,121,5,5,2021
2021-05-02,61.83431841913644,122,6,5,2021
2021-05-03,79.50116231112065,123,0,5,2021
2021-05-04,79.29198801297613,124,1,5,2021
2021-05-05,75.71357877916002,125,2,5,2021
2021-05-06,80.34716036919716,126,3,5,2021
2021-05-07,68.889766803473,127,4,5,2021
2021-05-08,61.380768732910965,128,5,5,2021
2021-05-09,74.15299933425652,129,6,5,2021
2021-05-10,73.02107613474992,130,0,5,2021
2021-05-11,68.9247867815322,131,1,5,2021
2021-05-12,73.9955487539483,132,2,5,2021
2021-05-13,67.73014558138715,133,3,5,2021
2021-05-14,60.717155746285115,134,4,5,2021
2021-05-15,69.41418316016397,135,5,5,2021
2021-05-16,75.14889847091409,136,6,5,2021
2021-05-17,62.36691846768183,137,0,5,2021
2021-05-18,75.92836095328585,138,1,5,2021
2021-05-19,70.66627510251463,139,2,5,2021
2021-05-20,68.61509506308494,140,3,5,2021
2021-05-21,63.58240879276221,141,4,5,2021
2021-05-22,59.3478126744573,142,5,5,2021
2021-05-23,64.70065831283713,143,6,5,2021
2021-05-24,64.03352953571343,144,0,5,2021
2021-05-25,73.26714482857471,145,1,5,2021
2021-05-26,72.4430067943454,146,2,5,2021
2021-05-27,68.60460380162142,147,3,5,2021
2021-05-28,60.72965173498779,148,4,5,2021
2021-05-29,59.482035549927396,149,5,5,2021
2021-05-30,66.90873789013382,150,6,5,2021
2021-05-31,69.34278262967217,151,0,5,2021
2021-06-01,65.65377216051006,152,1,6,2021
2021-06-02,71.79491066356815,153,2,6,2021
2021-06-03,72.13829525492905,154,3,6,2021
2021-06-04,55.48102926713722,155,4,6,2021
2021-06-05,63.62246137726893,156,5,6,2021
2021-06-06,58.33823248375613,157,6,6,2021
2021-06-07,68.19118555382362,158,0,6,2021
2021-06-08,65.20630461213307,159,1,6,2021
2021-06-09,60.7365832293747,160,2,6,2021
2021-06-10,58.68872614321749,161,3,6,2021
2021-06-11,62.496539938882144,162,4,6,2021
2021-06-12,60.61596507129959,163,5,6,2021
2021-06-13,55.525749534374505,164,6,6,2021
2021-06-14,66.91208638890902,165,0,6,2021
2021-06-15,59.08154819247157,166,1,6,2021
2021-06-16,67.78342905168158,167,2,6,2021
2021-06-17,59.11115188586886,168,3,6,2021
2021-06-18,57.32436735369093,169,4,6,2021
2021-06-19,57.87009829480575,170,5,6,2021
2021-06-20,54.0500229071318,171,6,6,2021
2021-06-21,60.090796409056765,172,0,6,2021
2021-06-22,70.70544686002478,173,1,6,2021
2021-06-23,63.50528144126254,174,2,6,2021
2021-06-24,67.61238142169734,175,3,6,2021
2021-06-25,53.195176061581854,176,4,6,2021
2021-06-26,58.535464195120184,177,5,6,2021
2021-06-27,63.80715060834069,178,6,6,2021
2021-06-28,47.89715409545906,179,0,6,2021
2021-06-29,59.926600589566306,180,1,6,2021
2021-06-30,67.50819535080521,181,2,6,2021
2021-07-01,60.648497199922545,182,3,7,2021
2021-07-02,58.926662756676016,183,4,7,2021
2021-07-03,51.09187142006661,184,5,7,2021
2021-07-04,55.25645324370797,185,6,7,2021
2021-07-05,57.70074207610364,186,0,7,2021
2021-07-06,67.97400592207374,187,1,7,2021
2021-07-07,64.11993692332717,188,2,7,2021
2021-07-08,61.5784265428954,189,3,7,2021
2021-07-09,53.24064013702621,190,4,7,2021
2021-07-10,49.90597094058228,191,5,7,2021
2021-07-11,50.89674093684205,192,6,7,2021
2021-07-12,58.69194799842106,193,0,7,2021
2021-07-13,58.275970967645954,194,1,7,2021
2021-07-14,62.54844918419804,195,2,7,2021
2021-07-15,68.52580780492514,196,3,7,2021
2021-07-16,57.92138943425611,197,4,7,2021
2021-07-17,48.98767552874928,198,5,7,2021
2021-07-18,57.34814022131478,199,6,7,2021
2021-07-19,52.971291600057114,200,0,7,2021
2021-07-20,48.49238636257179,201,1,7,2021
2021-07-21,54.37208254496127,202,2,7,2021
2021-07-22,47.11929278170192,203,3,7,2021
2021-07-23,50.14483888369847,204,4,7,2021
2021-07-24,49.059396112637586,205,5,7,2021
2021-07-25,58.087313859257186,206,6,7,2021
2021-07-26,55.02357869326731,207,0,7,2021
2021-07-27,55.9796632302639,208,1,7,2021
2021-07-28,61.96724471828789,209,2,7,2021
2021-07-29,43.84148223172328,210,3,7,2021
2021-07-30,51.52124216669429,211,4,7,2021
2021-07-31,51.27989795772818,212,5,7,2021
2021-08-01,40.788611377062075,213,6,8,2021
2021-08-02,57.602912352010605,214,0,8,2021
2021-08-03,57.28226513494588,215,1,8,2021
